name,default_name,is_team
Millenian,Orga,f
Ebirah,Ebirah,f
Rodan,Rodan,f
MUTO,MUTO,f
MUTOs,MUTO,f
Shinomura,Shinomura,f
Skullcrawlers,Skullcrawlers,f
Skullcrawler,Skullcrawlers,f
Skull crawlers,Skullcrawlers,f
Skull crawler,Skullcrawlers,f
Kong,Kong,f
Destoroyah,Destoroyah,f
Cybersaur,Cybersaur,f
Bagorah,Bagorah,f
Terraintula,All-Terraintula,f
Fire Bird,Fire Bird,f
Zilla Junior,Zilla Junior,f
Zilla Jr,Zilla Junior,f
Godzilla Jr,Zilla Junior,f
Gargantua,Gargantuas,f
Gargantuas,Gargantuas,f
Gaira,Gaira,f
Sanda,Sanda,f
Dagahra,Dagahra,f
M11,M11,f
Ozaki,Ozaki,f
Zod,Zod,f
Shinichi,Shinichi,f
Zeus,Zeus,f
Gezora,Gezora,f
Mechani-Kong,Mechani-Kong,f
Mechani Kong,Mechani-Kong,f
MechaniKong,Mechani-Kong,f
Shinichi Ozaki,Shinichi Ozaki,f
Cap,Cap,f
Karl Ruprecht Kroenen,Karl Ruprecht Kroenen,f
Liz Sherman,Liz Sherman,f
Nuada,Prince Nuada,f
Shokuhou Misaki,Shokuhou Misaki,f
Spinosaurus,Spinosaurus,f
Owen,Owen,f
Owen Grady,Owen Grady,f
Stiggy,Stiggy,f
Stygimoloch,Stygimoloch,f
Hera,Hera,f
Odysseus,Odysseus,f
Orpheus,Orpheus,f
Tyrannosaurus,Tyrannosaurus Rex,f
Deadly Viper Assassination Squad,Deadly Viper Assassination Squad,f
DVAS,DVAS,f
D.V.A.S,D.V.A.S,f
Beatrix Kiddo,Beatrix Kiddo,f
Beatrix,Beatrix,f
Bill,Bill,f
O-Ren,O-Ren Ishii,f
Vernita,Vernita Green,f
Elle,Elle,f
Elle Driver,Elle Driver,f
Budd,Budd,f
Gogo,Gogo,f
Gogo Yubari,Gogo Yubari,f
Pai Mei,Pai Mei,f
Beast,Beast,f
The Beast,The Beast,f
Pig Sty Alley,Pig Sty Alley,f
Landlord,Landlord,f
Landlady,Landlady,f
Coolie,Coolie,f
Tailor,Tailor,f
Donut,Donut,f
Sing,Sing,f
Emil Blonsky,Abomination,f
Abomination,Abomination,f
Algrim,Algrim,f
Kurse,Kurse,f
Ancient One,The Ancient One,f
Black Widow,Black Widow,f
Natasha Romanoff,Black Widow,f
Hulk,Hulk,f
Misaki Shokuhou,Shokuhou Misaki,f
Carol,Carol,f
Corvus Glaive,Corvus Glaive,f
Brock Rumlow,Crossbones,f
Dormammu,Dormammu,f
Bucky Barnes,Winter Soldier,f
Bucky,Bucky,f
Misaka Mikoto,Mikoto Misaka,f
Shirai Kuroko,Shirai Kuroko,f
Kuroko Shirai,Shirai Kuroko,f
War Machine,War Machine,f
James Rupert Rhodes,War Machine,f
James Rhodes,War Machine,f
Wiz (and|&) Boomstick,Wiz & Boomstick,t
Vision,Vision,f
